名称,材料等级,综合效率最佳,狙击效率最佳,Tips
白马醇,紫,4-4（约0.05个/18体）,4-4（约0.05个/18体）,该材料直刷效率明显小于合成效率，建议合成
扭转醇,蓝,4-4（约0.37个/18体）,2-9（约0.26个/12体）,
三水锰矿,紫,4-7（约0.04个/18体）,4-7（约0.04个/18体）,该材料直刷效率明显小于合成效率，建议合成
轻锰矿,蓝,4-7（约0.29个/18体）,3-2（约0.37个/15体）,
五水研磨石,紫,4-8（约0.03个/21体）,4-8（约0.03个/21体）,该材料直刷效率明显小于合成效率，建议合成
研磨石,蓝,4-8（约0.36个/21体）,3-3（约0.32个/15体）,
RMA70-24,紫,4-9（约0.04个/21体）,4-9（约0.04个/21体）,该材料直刷效率明显小于合成效率，建议合成
RMA70-12,蓝,4-9（约0.29个/21体）,2-10（约0.28个/15体）,
提纯源岩,紫,4-6（约0.05个/18体）,4-6（约0.05个/18体）,该材料直刷效率明显小于合成效率，建议合成
固源岩组,蓝,4-6（约0.46个/18体）,2-4（约0.42个/12体）,该材料直刷效率明显小于合成效率，建议合成
固源岩,绿,4-7（约0.29个/18体，主修轻锰矿（约0.29个/18体））& 5-5（约0.32个/18体，主修异铁组（约0.29个/18体））,1-7（约1.25个/6体）,0719数据：本次更新把5-10踢出综合名单，仅排第四，5-10（约1.86个/21体，另修全新装置（约0.31个/21体））
源岩,灰,2-6（约0.43个/12体，主修聚酸酯组（约0.35个/12体））,S2-5（约3.56个/12体）,
改量装置,紫,4-10（约0.03个/21体）,4-10（约0.03个/21体）,该材料直刷效率明显小于合成效率，建议合成
全新装置,蓝,4-10（约0.30个/21体）& 5-10（约0.31个/21体，另修固源岩（约1.86个/21体））,3-4（约0.27个/15体）,
装置,绿,S3-4（约0.90个/15体）,S3-4（约0.90个/15体）,
破损装置,灰,2-3（约1.50个/12体）,2-3（约1.50个/12体）,
聚酸酯块,紫,3-8（约0.03个/18体）,3-8（约0.03个/18体）,该材料直刷效率明显小于合成效率，建议合成
聚酸酯组,蓝,3-8（约0.39个/18体）& 5-3（约0.48个/18体，另修糖（约0.84个/18体））,2-6（约0.35个/12体）,
聚酸酯,绿,S3-2（约1.53个/15体）,S3-2（约1.53个/15体）,
酯原料,灰,3-8（约0.41个/18体，主修聚酸酯组（约0.39个/18体））,S2-7（约2.55个/12体）,
糖聚块,紫,4-2（约0.04个/18体）,4-2（约0.04个/18体）,该材料直刷效率明显小于合成效率，建议合成
糖组,蓝,4-2（约0.40个/18体）,2-5（约0.36个/12体）,
糖,绿,5-3（约0.84个/18体，主修聚酸酯组（约0.48个/18体））,S3-1（约1.53个/15体）,
代糖,灰,2-5（约0.26个/12体，主修糖组（约0.37个/12体））,S2-6（约2.44个/12体）,
异铁块,紫,S4-1（约0.03个/18体）,S4-1（约0.03个/18体）,该材料直刷效率明显小于合成效率，建议合成
异铁组,蓝,S4-1（约0.32个/18体）,S4-1（约0.32个/18体）,
异铁,绿,4-2（约0.15个/18体，主修糖组（约0.40个/18体））,S3-3（约1.23个/15体）,
异铁碎片,灰,2-5（约0.20个/12体，主修糖组（约0.36个/12体））,S2-8（约1.97个/12体）,
酮阵列,紫,4-5（约0.03个/18体）,4-5（约0.03个/18体）,该材料直刷效率明显小于合成效率，建议合成
酮凝集组,蓝,4-5（约0.31个/18体）,3-1（约0.36个/15体）,
酮凝集,绿,3-7（约1.26个/15体）,3-7（约1.26个/15体）,
双酮,灰,4-5（约0.34个/18体，主修酮凝集组（约0.31个/18体））,S2-9（约2.15个/12体）,
D32钢,金,,,无法掉落，直接合成
双极纳米片,金,,,无法掉落，直接合成
聚合剂,金,,,无法掉落，直接合成
